,day,month,year,team1,goal1,goal2,team2
144,08,09,20,Denmark,0,0,England
145,05,09,20,Denmark,0,2,Belgium
146,18,11,19,Ireland,1,1,Denmark
147,15,11,19,Denmark,6,0,Gibraltar
148,15,10,19,Denmark,4,0,Luxembourg
149,12,10,19,Denmark,1,0,Switzerland
150,08,09,19,Georgia,0,0,Denmark
151,05,09,19,Gibraltar,0,6,Denmark
152,10,06,19,Denmark,5,1,Georgia
153,07,06,19,Denmark,1,1,Ireland
154,26,03,19,Switzerland,3,3,Denmark
155,21,03,19,Kosovo,2,2,Denmark
156,19,11,18,Denmark,0,0,Ireland
157,16,11,18,Wales,1,2,Denmark
158,16,10,18,Denmark,2,0,Austria
159,13,10,18,Ireland,0,0,Denmark
160,09,09,18,Denmark,2,0,Wales
161,05,09,18,Slovakia,3,0,Denmark
162,01,07,18,Croatia,3,2,Denmark
163,04,06,21,Finland,0,1,Estonia
164,29,05,21,Sweden,2,0,Finland
165,31,03,21,Switzerland,3,2,Finland
166,28,03,21,Ukraine,1,1,Finland
167,24,03,21,Finland,2,2,Bosnia & Herzegovina
168,18,11,20,Wales,3,1,Finland
169,15,11,20,Bulgaria,1,2,Finland
170,11,11,20,France,0,2,Finland
171,14,10,20,Finland,1,0,Ireland
172,11,10,20,Finland,2,0,Bulgaria
173,07,10,20,Poland,5,1,Finland
174,06,09,20,Ireland,0,1,Finland
175,03,09,20,Finland,0,1,Wales
176,18,11,19,Greece,2,1,Finland
177,15,11,19,Finland,3,0,Liechtenstein
178,15,10,19,Finland,3,0,Armenia
179,12,10,19,Bosnia & Herzegovina,4,1,Finland
180,08,09,19,Finland,1,2,Italy
181,05,09,19,Finland,1,0,Greece
182,11,06,19,Liechtenstein,0,2,Finland
183,08,06,19,Finland,2,0,Bosnia & Herzegovina
184,26,03,19,Armenia,0,2,Finland
185,23,03,19,Italy,2,0,Finland
186,11,01,19,Finland,1,2,Estonia
187,08,01,19,Sweden,0,1,Finland
188,18,11,18,Hungary,2,0,Finland
189,15,11,18,Greece,1,0,Finland
190,15,10,18,Finland,2,0,Greece
191,12,10,18,Estonia,0,1,Finland
192,11,09,18,Finland,1,0,Estonia
193,16,11,19,Russia,1,4,Belgium
194,21,03,19,Belgium,3,1,Russia
195,28,03,17,Russia,3,3,Belgium
196,22,06,14,Belgium,1,0,Russia
197,17,11,10,Russia,0,2,Belgium
198,14,06,02,Belgium,3,2,Russia
199,06,06,21,Belgium,1,0,Croatia
200,03,06,21,Belgium,1,1,Greece
201,30,03,21,Belgium,8,0,Belarus
202,27,03,21,Czech Republic,1,1,Belgium
203,24,03,21,Belgium,3,1,Wales
204,18,11,20,Belgium,4,2,Denmark
205,15,11,20,Belgium,2,0,England
206,11,11,20,Belgium,2,1,Switzerland
207,14,10,20,Iceland,1,2,Belgium
208,11,10,20,England,2,1,Belgium
209,08,10,20,Belgium,1,1,Ivory Coast
210,08,09,20,Belgium,5,1,Iceland
211,05,09,20,Denmark,0,2,Belgium
212,19,11,19,Belgium,6,1,Cyprus
213,16,11,19,Russia,1,4,Belgium
214,13,10,19,Kazakhstan,0,2,Belgium
215,10,10,19,Belgium,9,0,San Marino
216,09,09,19,Scotland,0,4,Belgium
217,06,09,19,San Marino,0,4,Belgium
218,11,06,19,Belgium,3,0,Scotland
219,08,06,19,Belgium,3,0,Kazakhstan
220,24,03,19,Cyprus,0,2,Belgium
221,21,03,19,Belgium,3,1,Russia
222,18,11,18,Switzerland,5,2,Belgium
223,15,11,18,Belgium,2,0,Iceland
224,16,10,18,Belgium,1,1,Netherlands
